ts_ms,open_interest
1684162800000,453452.80000000
1684166400000,452153.52000000
1684170000000,462473.41000000
1684173600000,458507.51000000
1684177200000,460130.00000000
1684180800000,462189.36000000
1684184400000,459444.14000000
1684188000000,457931.84000000
1684191600000,454567.45000000
1684195200000,455201.72000000
1684198800000,447047.41000000
1684202400000,444626.66000000
1684206000000,446162.51000000
1684209600000,442939.60000000
1684213200000,442663.64000000
1684216800000,442743.68000000
1684220400000,441754.62000000
1684224000000,452006.76000000
1684227600000,450677.56000000
1684231200000,449270.43000000
1684234800000,455947.29000000
1684238400000,454022.49000000
1684242000000,453738.84000000
1684245600000,455832.14000000
1684249200000,454354.88000000
1684252800000,452801.24000000
1684256400000,450032.04000000
1684260000000,455966.01000000
1684263600000,459815.85000000
1684267200000,459482.09000000
1684270800000,459825.71000000
1684274400000,464962.46000000
1684278000000,464695.36000000
1684281600000,464182.41000000
1684285200000,465784.93000000
1684288800000,464135.70000000
1684292400000,465519.51000000
1684296000000,465067.81000000
1684299600000,464461.26000000
1684303200000,467607.25000000
1684306800000,469140.07000000
1684310400000,456764.11000000
1684314000000,463027.95000000
1684317600000,463319.71000000
1684321200000,465448.63000000
1684324800000,466157.66000000
1684328400000,460840.04000000
1684332000000,456122.31000000
1684335600000,458281.64000000
1684339200000,459809.39000000
1684342800000,456286.28000000
1684346400000,455849.08000000
1684350000000,456466.99000000
1684353600000,449149.91000000
1684357200000,438664.35000000
1684360800000,435761.27000000
1684364400000,440816.82000000
1684368000000,440344.49000000
1684371600000,442481.30000000
1684375200000,440385.28000000
1684378800000,440517.20000000
1684382400000,442294.30000000
1684386000000,443269.44000000
1684389600000,443942.30000000
1684393200000,444406.30000000
1684396800000,439414.84000000
1684400400000,440239.88000000
1684404000000,439501.69000000
1684407600000,440574.26000000
1684411200000,439701.69000000
1684414800000,437742.80000000
1684418400000,437998.15000000
1684422000000,436096.62000000
1684425600000,440943.82000000
1684429200000,448963.85000000
1684432800000,450922.50000000
1684436400000,461235.68000000
1684440000000,459441.55000000
1684443600000,460455.40000000
1684447200000,452785.99000000
1684450800000,453483.46000000
1684454400000,454519.81000000
1684458000000,455713.80000000
1684461600000,456861.16000000
1684465200000,456981.62000000
1684468800000,457437.54000000
1684472400000,457088.47000000
